"Activities","299"
"Total Distance","1,318.06 mi"
"Average Distance","4.41 mi"
"Max Distance","14.01 mi"
"Total Activity Time","216:46:52 h:m:s"
"Activity Calories","174,390"
"Total Ascent","39,849 ft"
"Avg Ascent","136 ft"
"Max Ascent","568 ft"
"Total Descent","37,644 ft"
"Avg Descent","128 ft"
"Max Descent","850 ft"
"Average Pace","9:52 /mi"
"Avg Grade-Adjusted Pace","--"
"Best Pace","0:44 /mi"
"Average Heart Rate","150 bpm"
"Max Heart Rate","199 bpm"
"Average Run Cadence","153 spm"
"Max Run Cadence","249 spm"
"Vertical Oscillation","--"
"Ground Contact Time","--"
"Average Stride Length","1.08 m"
