Date,Activity,Distance (miles),Pace/Mile,Time,Heart Rate Avg
2025-07-01,Run,4.0,8:48,0:35:15,N/A
2025-06-29,Run,4.04,9:26,0:38:11,N/A
2025-06-28,Run,7.29,8:36,1:02:44,N/A
2025-06-27,Run,1.89,9:05,0:17:13,N/A
2025-06-26,Run,2.56,8:24,0:21:34,N/A
2025-06-24,Run,4.02,9:13,0:37:05,N/A
2025-06-22,Ride,12.59,4:27,0:56:05,N/A
2025-06-21,Run,6.03,9:32,0:57:35,N/A
2025-06-19,Run,3.51,9:45,0:34:18,N/A
2025-06-17,Run,3.5,9:25,0:33:00,N/A
2025-06-14,Run,6.39,9:11,0:58:43,N/A
2025-06-12,Run,2.33,8:27,0:19:44,N/A
2025-05-28,Ride,0.0,N/A,0:51:49,N/A
2025-05-26,Run,4.01,8:14,0:33:00,N/A
2025-05-25,Run,6.01,8:50,0:53:07,N/A
2025-05-24,Ride,20.11,4:38,1:33:15,N/A
2025-05-22,Run,4.19,8:54,0:37:19,N/A
2025-05-19,Ride,0.0,N/A,0:34:28,N/A
2025-05-15,Run,5.14,8:59,0:46:12,N/A
2025-05-14,Run,2.65,8:51,0:23:27,N/A
2025-05-12,Run,4.12,8:43,0:35:58,N/A
2025-05-08,Ride,0.0,N/A,0:28:55,N/A
2025-05-06,Run,3.21,7:56,0:25:29,N/A
2025-05-04,Run,3.01,8:45,0:26:21,N/A
2025-05-03,Ride,21.82,4:53,1:46:46,N/A
2025-04-30,Hike,7.87,18:53,2:28:44,N/A
2025-04-29,Hike,7.14,18:52,2:14:55,N/A
2025-04-27,Run,3.0,8:59,0:27:00,N/A
2025-04-24,Ride,8.59,7:51,1:07:27,N/A
2025-04-24,Run,1.51,8:58,0:13:32,N/A
2025-04-17,Ride,0.0,N/A,0:33:43,N/A
2025-04-15,Run,4.66,9:01,0:42:06,N/A
2025-04-13,Run,4.12,8:01,0:33:03,N/A
2025-04-10,Run,3.86,9:13,0:35:37,N/A
2025-04-08,Ride,0.0,N/A,0:41:53,N/A
2025-04-06,Run,7.21,9:04,1:05:24,N/A
2025-04-05,Ride,0.0,N/A,0:40:30,N/A
2025-04-03,Ride,0.0,N/A,0:30:38,N/A
2025-04-01,Run,3.64,8:51,0:32:13,N/A
2025-03-30,Ride,0.0,N/A,0:54:43,N/A
2025-03-29,Run,3.14,10:30,0:33:00,N/A
2025-03-28,Ride,0.0,N/A,0:30:10,N/A
2025-03-27,Run,3.01,8:56,0:26:52,N/A
2025-03-25,Ride,0.0,N/A,0:41:04,N/A
2025-03-23,Run,5.8,9:13,0:53:30,N/A
2025-03-22,Ride,0.0,N/A,0:59:09,N/A
2025-03-20,Ride,0.0,N/A,0:40:22,N/A
2025-03-18,Run,4.17,8:47,0:36:40,N/A
2025-03-13,Run,3.63,8:26,0:30:38,N/A
2025-03-11,Ride,0.0,N/A,0:43:39,N/A
2025-03-09,Ride,15.01,4:34,1:08:46,N/A
2025-03-08,Run,6.78,8:38,0:58:36,N/A
2025-03-06,Ride,0.0,N/A,0:39:56,N/A
